"Nom","Regime juridique","Site internet","Nombre de réunions annuelles","Député","Rôle","Nomination"
"Commission d'examen des pratiques commerciales","Article L. 440-1 du code de commerce","https://www.economie.gouv.fr/cepc","6","Mme Annick Le Loch","Membre titulaire","2015-07-03"
"Commission d'examen des pratiques commerciales","Article L. 440-1 du code de commerce","https://www.economie.gouv.fr/cepc","6","M. Benoit Potterie","Membre titulaire","2017-09-15"
"Commission d'examen des pratiques commerciales","Article L. 440-1 du code de commerce","https://www.economie.gouv.fr/cepc","6","M. Joseph Parrenin","Membre titulaire","2002-02-07"
"Commission d'examen des pratiques commerciales","Article L. 440-1 du code de commerce","https://www.economie.gouv.fr/cepc","6","M. Razzy Hammadi","Membre titulaire","2012-07-17"
"Commission d'examen des pratiques commerciales","Article L. 440-1 du code de commerce","https://www.economie.gouv.fr/cepc","6","M. Hervé de Lépinau","Membre titulaire","2024-09-24"
"Commission d'examen des pratiques commerciales","Article L. 440-1 du code de commerce","https://www.economie.gouv.fr/cepc","6","M. Jean-Paul Charié","Membre titulaire","2007-08-01"
"Commission d'examen des pratiques commerciales","Article L. 440-1 du code de commerce","https://www.economie.gouv.fr/cepc","6","Mme Annaïg Le Meur","Membre titulaire","2022-08-03"
"Commission d'examen des pratiques commerciales","Article L. 440-1 du code de commerce","https://www.economie.gouv.fr/cepc","6","M. Jean-Paul Charié","Membre titulaire","2002-08-01"
"Commission d'examen des pratiques commerciales","Article L. 440-1 du code de commerce","https://www.economie.gouv.fr/cepc","6","Mme Catherine Vautrin","Membre titulaire","2009-12-01"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Paul-André Colombani","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","Mme Christine Loir","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Yannick Neuder","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. François Gernigon","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Christophe Bentz","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Jean-Philippe Nilor","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","Mme Laure Lavalette","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Mansour Kamardine","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Didier Martin","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Jean-François Rousset","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Sébastien Peytavie","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","Mme Christine Le Nabour","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","Mme Stéphanie Rist","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Elie Califer","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","Mme Charlotte Parmentier-Lecocq","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Jean-Victor Castor","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","M. Jean-Hugues Ratenon","Membre titulaire","2024-02-28"
"Conseil d'administration de l'agence régionale de santé",,,"0","Mme Anne Bergantz","Membre titulaire","2024-02-28"
"Commission nationale chargée de l'examen du respect des obligations de réalisation de logements sociaux","Article L. 302-9-1-1 du code de la construction et de l’habitation",,"0","M. Vincent Jeanbrun","Membre titulaire","2024-11-06"
"Commission nationale chargée de l'examen du respect des obligations de réalisation de logements sociaux","Article L. 302-9-1-1 du code de la construction et de l’habitation",,"0","M. Robin Reda","Membre titulaire","2020-09-16"
"Commission nationale chargée de l'examen du respect des obligations de réalisation de logements sociaux","Article L. 302-9-1-1 du code de la construction et de l’habitation",,"0","M. Gérard Hamel","Membre titulaire","2008-07-30"
"Commission nationale chargée de l'examen du respect des obligations de réalisation de logements sociaux","Article L. 302-9-1-1 du code de la construction et de l’habitation",,"0","M. Alexandre Vincendet","Membre titulaire","2022-10-21"
