"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM858982","PA794530","Matthieu Marchio","PO851234","GA","France-Belgique","2025-01-24","","Membre"
"PM858369","PA1327","Nicolas Forissier","PO851919","GA","France-Chili","2025-01-23","2025-11-12","Membre"
"PM861496","PA720370","Ludovic Mendes","PO851919","GA","France-Chili","2025-01-30","","Membre"
"PM857637","PA695512","Guillaume Lepers","PO854561","GE","Santé mentale","2025-01-22","2026-04-20","Membre"
"PM860764","PA720190","Bertrand Sorre","PO851294","GA","France-Guinée-Bissao","2025-01-29","","Membre"
"PM856193","PA607619","Paul Molac","PO854293","GE","Langues et cultures régionales","2025-01-15","","Membre"
"PM859893","PA795310","Clémence Guetté","PO854401","GE","Arctique, Antarctique, Terres australes et antarctiques françaises et grands fonds océaniques","2025-01-28","","Co-Président"
"PM856905","PA712015","Julien Dive","PO854157","GE","Filière brassicole","2025-01-17","","Membre"
"PM855461","PA643175","Stella Dupont","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-01-07","","Membre"
"PM858548","PA795900","Marine Hamelet","PO851924","GA","France-Sénégal","2025-01-23","","Membre"
"PM861675","PA718674","Olga Givernet","PO851492","GA","France-Suisse","2025-01-31","","Président"
"PM857816","PA720342","Nicole Le Peih","PO851284","GA","France-Côte d'Ivoire","2025-01-23","","Membre"
"PM860943","PA841587","David Magnier","PO851939","GEVI","Groupe d'études à vocation internationale sur la Biélorussie","2025-01-29","","Membre"
"PM856372","PA793664","Marie Pochon","PO854349","GE","Forêt et filière bois","2025-01-15","","Membre"
"PM855640","PA841825","Patrice Martin","PO854308","GE","Littoral","2025-01-09","","Membre"
"PM859459","PA721004","Amélia Lakrafi","PO851612","GA","France-Maroc","2025-01-27","","Membre"
"PM855027","PA335054","Marietta Karamanli","PO854454","GE","Aéronautique et espace","2024-12-23","","Membre"
"PM861854","PA840801","Emmanuel Fouquart","PO851492","GA","France-Suisse","2025-02-03","","Membre"
