"Type de commission","Date","Heure","À l'initiative de","Ordre(s) du jour"
"COMPER","2026-09-24","14:30","Commission des affaires économiques","éventuellement, suite de l’examen du projet de loi, adopté par le Sénat, visant la relance et la décentralisation du logement (n° 3058) (Mme Annaïg Le Meur, rapporteure)."
"CNPE","2026-09-22","14:30","Commission d'enquête sur les causes et les conséquences de l'augmentation de la pauvreté, notamment pour les travailleurs séniors et les personnes âgées, et les manquements des politiques publiques pour y faire face","audition, ouverte à la presse, de Mme Aude Muscatelli, directrice générale adjointe de la Caisse nationale de solidarité pour l’autonomie (CNSA)."
"MISFLASH","2026-09-22","14:00","Mission d'information sur le coût de la canicule","audition de la Fédération hospitalière de France (FHF) avec Mme Cécile Chevance, responsable du pôle offres, Mme Alexandra Liparo, responsable adjointe du pôle offres, M. Vincent Ollivier, responsable adjoint du pôle offres, M. Rudy Chouvel, responsable adjoint du pôle offres."
"MISINFO","2026-09-23","15:00","Mission d'information sur l'avenir de la cavalerie","audition du GDI Le Carff, sous-chef d’état-major plans et programmes de l’Armée de Terre."
"MISINFO","2026-09-23","16:45","Mission d’information sur les mesures et dispositifs mis en œuvre par l’État pour renforcer la protection des personnels éducatifs à la suite de l’assassinat de Samuel Paty","- audition de M. Jean-Louis Linder, président de l’Autonome de solidarité laïque, et de Maître Florence Lec, avocate."
"COMPER","2026-09-30","11:00","Commission de la défense nationale et des forces armées","examen, conjoint avec la commission des affaires étrangères et ouvert à la presse, de la mission d’information commune sur l'articulation et la compatibilité des défenses européennes et atlantiques (M. David Habib et Mme Michèle Tabarot, rapporteurs) et vote sur l’autorisation de la publication du rapport."
"MISFLASH","2026-09-24","17:00","Mission d'information sur le coût de la canicule","audition en visioconférence du groupe EDF avec M. Fabrice Noilhan, directeur stratégie groupe et M. Bertrand Le Thiec, directeur des affaires publiques."
"MISINFO","2026-09-22","16:30","Mission d'information sur l'avenir de la cavalerie","audition de M. Alexandre Dupuy, directeur des activités systèmes de KNDS France."
"MISINFO","2026-09-23","17:00","Mission sur l’avenir des hélicoptères","audition de Mme Isabelle Dufour, Directrice des études stratégiques, Eurocrise."
"COMPER","2026-09-23","16:30","Commission des affaires sociales","table ronde sur les dispositifs médicaux gynécologiques réunissant :haute autorité de santé : Mme Floriane Pelon, directrice de l’évaluation et de l’accès aux soins, et M. Hubert Galmiche, chef du service Évaluation des dispositifs médicaux ;agence nationale de sécurité du médicament et des produits de santé : M. Grégory Emery, directeur général, et M. Charles-Emmanuel Barthélémy, adjoint à la sous directrice de la politique des produits de santé et de la qualité des pratiques et des soins ;Dr Michel Vincent, pneumologue, administrateur du Groupe Adène ;Mme Ana-Maria Trunfio-Sfarghiu, chargée de recherche au Centre national de la recherche scientifique."
"DELEG","2026-10-07","18:30","Délégation aux collectivités territoriales et à la décentralisation","audition, ouverte à la presse, de M. David Amiel, ministre de l’action et des comptes publics."
"MISINFOPRE","2026-09-29","16:30","Mission d'information sur le maillage scolaire à l'épreuve du défi démographique","audition conjointe, ouverte à la presse, des associations de parents d’élèves :M. Guillaume Brun, secrétaire général adjoint de la Fédération des conseils de parents d’élèves (FCPE) ; M. Emmanuel Garot, président de la Fédération des parents d'élèves de l'enseignement public (PEEP) ;M. Olivier Mathieu, administrateur de l’Union nationale des associations autonomes de parents d’élèves (UNAAPE)."
"MISINFOPRE","2026-09-30","18:00","Mission d'information sur le maillage scolaire à l'épreuve du défi démographique","audition, ouverte à la presse, de M. Henri Prevost, directeur général de l’Agence nationale de la cohésion des territoires (ANCT)."
"COMPER","2026-09-23","09:30","Commission des finances, de l'économie générale et du contrôle budgétaire","examen et vote sur l’autorisation de publication du rapport sur l’application des lois fiscales (M. Philippe Juvin, rapporteur général)."
"COMPER","2026-09-23","16:30","Commission des finances, de l'économie générale et du contrôle budgétaire","table ronde sur le financement de la souveraineté numérique : audition de M. Théau Peronnin, cofondateur de la société Alice et Bob, et de M. Sébastien Lescop, directeur général de la société Cloud Temple."
"COMPER","2026-09-23","09:30","Commission du développement durable et de l'aménagement du territoire","désignation d’un rapporteur sur la proposition de loi visant à abroger les zones à faibles émissions-mobilités (n° 2970) (sous réserve de son inscription à l’ordre du jour)."
"COMPER","2026-09-23","09:30","Commission des affaires culturelles et de l'éducation","audition de Mme Aurélie Rousseau et M. Fabrice Schlosser, co-présidents de Locales.tv, et M. Jean Brun, secrétaire général, sur la situation des chaînes de télévision locales."
"COMPER","2026-09-23","14:00","Commission des affaires sociales","nomination d’un rapporteur sur le projet de loi de financement de la sécurité sociale pour 2027 ;nomination d’un rapporteur sur la mise en application de la loi n° 2023-659 du 26 juillet 2023 visant à lutter contre le dumping social sur le transmanche et à renforcer la sécurité du transport maritime ;audition de M. Cyrille Isaac-Sibille, député, chargé par M. le Premier ministre, en application de l’article L.O. 144 du code électoral, d’une mission temporaire sur la prévention primaire en santé."
"CNPS","2026-09-22","15:00","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’ordre du jour du matin."
"CNPS","2026-09-23","21:30","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’ordre du jour de l’après-midi."
"CNPS","2026-09-23","09:00","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’examen de la proposition de loi visant à apporter une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants (n° 3106) (Mme Céline Thiébault-Martinez, rapporteure générale ; Mmes Céline Thiébault Martinez, Marie-Charlotte Garin, Isabelle Rauch, Émilie Bonnivard, Soumya Bourouaha, rapporteures, MM. David Taupiac, Erwan Balanant, Guillaume Gouffier Valente, Karim Benbrahim, rapporteurs) et de la proposition de loi organique visant à adapter l’autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales (n° 3107) (Mme Céline Thiébault-Martinez, rapporteure)."
"CNPS","2026-09-24","15:00","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’ordre du jour du matin."
"COMPER","2026-09-22","21:30","Commission des affaires économiques","suite de l’examen du projet de loi, adopté par le Sénat, visant la relance et la décentralisation du logement (n° 3058) (Mme Annaïg Le Meur, rapporteure)."
